"Name","DisplayName","Status","StartType"
"AarSvc_e0a00","Agent Activation Runtime_e0a00","Stopped","Manual"
"ADPSvc","Aggregated Data Platform Service","Stopped","Manual"
"ALG","Application Layer Gateway Service","Stopped","Manual"
"AppIDSvc","Application Identity","Running","Manual"
"Appinfo","Application Information","Running","Manual"
"AppReadiness","App Readiness","Stopped","Manual"
"AppXSvc","AppX Deployment Service (AppXSVC)","Running","Automatic"
"ApxSvc","Windows Virtual Audio Device Proxy Service","Stopped","Manual"
"ArmouryCrateControlInterface","Armoury Crate Control Interface","Running","Automatic"
"ArmouryCrateService","Armoury Crate Service","Running","Automatic"
"asus","ASUS Update Service (asus)","Stopped","Automatic"
"AsusAppService","ASUS App Service","Running","Automatic"
"AsusCertService","ASUS Certificate Service","Running","Automatic"
"asusm","ASUS Update Service (asusm)","Stopped","Manual"
"ASUSOptimization","ASUS Optimization","Running","Automatic"
"AsusROGLSLService","AsusROGLSLService Download ROGLSLoader","Stopped","Automatic"
"ASUSSoftwareManager","ASUS Software Manager","Running","Automatic"
"ASUSSwitch","ASUS Switch","Running","Automatic"
"ASUSSystemAnalysis","ASUS System Analysis","Running","Automatic"
"ASUSSystemDiagnosis","ASUS System Diagnosis","Running","Automatic"
"AudioEndpointBuilder","Windows Audio Endpoint Builder","Running","Automatic"
"Audiosrv","Windows Audio","Running","Automatic"
"autotimesvc","Cellular Time","Stopped","Manual"
"AxInstSV","ActiveX Installer (AxInstSV)","Stopped","Manual"
"BcastDVRUserService_e0a00","GameDVR and Broadcast User Service_e0a00","Stopped","Manual"
"BDESVC","BitLocker Drive Encryption Service","Stopped","Manual"
"BFE","Base Filtering Engine","Running","Automatic"
"BITS","Background Intelligent Transfer Service","Running","Automatic"
"BluetoothUserService_e0a00","Bluetooth User Support Service_e0a00","Running","Manual"
"brlapi","brlapi","Stopped","Manual"
"BrokerInfrastructure","Background Tasks Infrastructure Service","Running","Automatic"
"BTAGService","Bluetooth Audio Gateway Service","Running","Manual"
"BthAvctpSvc","AVCTP service","Running","Manual"
"bthserv","Bluetooth Support Service","Running","Manual"
"camsvc","Capability Access Manager Service","Running","Automatic"
"CaptureService_e0a00","CaptureService_e0a00","Stopped","Manual"
"cbdhsvc_e0a00","Clipboard User Service_e0a00","Running","Automatic"
"CDPSvc","Connected Devices Platform Service","Running","Automatic"
"CDPUserSvc_e0a00","Connected Devices Platform User Service_e0a00","Running","Automatic"
"CertPropSvc","Certificate Propagation","Stopped","Manual"
"ClipSVC","Client License Service (ClipSVC)","Running","Manual"
"CloudBackupRestoreSvc_e0a00","Cloud Backup and Restore Service_e0a00","Stopped","Manual"
"C-MediaAudioService","C-MediaAudioService","Running","Automatic"
"COMSysApp","COM+ System Application","Stopped","Manual"
"ConsentUxUserSvc_e0a00","ConsentUX User Service_e0a00","Stopped","Manual"
"CoreMessagingRegistrar","CoreMessaging","Running","Automatic"
"CoworkVMService","Claude","Running","Automatic"
"cplspcon","Intel(R) Content Protection HDCP Service","Running","Automatic"
"CredentialEnrollmentManagerUserSvc_e0a00","CredentialEnrollmentManagerUserSvc_e0a00","Stopped","Manual"
"CryptSvc","Cryptographic Services","Running","Automatic"
"DcomLaunch","DCOM Server Process Launcher","Running","Automatic"
"dcsvc","Declared Configuration(DC) service","Stopped","Manual"
"defragsvc","Optimize drives","Stopped","Manual"
"DeviceAssociationBrokerSvc_e0a00","DeviceAssociationBroker_e0a00","Stopped","Manual"
"DeviceAssociationService","Device Association Service","Running","Manual"
"DeviceInstall","Device Install Service","Stopped","Manual"
"DevicePickerUserSvc_e0a00","DevicePicker_e0a00","Stopped","Manual"
"DevicesFlowUserSvc_e0a00","DevicesFlow_e0a00","Running","Manual"
"DevQueryBroker","DevQuery Background Discovery Broker","Running","Manual"
"Dhcp","DHCP Client","Running","Automatic"
"diagsvc","Diagnostic Execution Service","Stopped","Manual"
"DiagTrack","Connected User Experiences and Telemetry","Running","Automatic"
"DispBrokerDesktopSvc","Display Policy Service","Running","Automatic"
"DisplayEnhancementService","Display Enhancement Service","Running","Manual"
"DmEnrollmentSvc","Device Management Enrollment Service","Stopped","Manual"
"dmwappushservice","Device Management Wireless Application Protocol (WAP) Push message Routing Service","Stopped","Manual"
"Dnscache","DNS Client","Running","Automatic"
"DolbyDAXAPI","Dolby DAX API Service","Running","Automatic"
"DoSvc","Delivery Optimization","Running","Automatic"
"dot3svc","Wired AutoConfig","Stopped","Manual"
"DPS","Diagnostic Policy Service","Running","Automatic"
"dptftcs","Intel(R) Dynamic Tuning Technology Telemetry Service","Running","Automatic"
"DsmSvc","Device Setup Manager","Stopped","Manual"
"DsSvc","Data Sharing Service","Stopped","Manual"
"DusmSvc","Data Usage","Running","Automatic"
"EapHost","Extensible Authentication Protocol","Stopped","Manual"
"edgeupdate","Microsoft Edge Update Service (edgeupdate)","Stopped","Automatic"
"edgeupdatem","Microsoft Edge Update Service (edgeupdatem)","Stopped","Manual"
"EFS","Encrypting File System (EFS)","Stopped","Manual"
"embeddedmode","Embedded Mode","Stopped","Manual"
"EntAppSvc","Enterprise App Management Service","Stopped","Manual"
"EventLog","Windows Event Log","Running","Automatic"
"EventSystem","COM+ Event System","Running","Automatic"
"fdPHost","Function Discovery Provider Host","Stopped","Manual"
"FDResPub","Function Discovery Resource Publication","Stopped","Manual"
"fhsvc","File History Service","Stopped","Manual"
"FontCache","Windows Font Cache Service","Running","Automatic"
"FrameServer","Windows Camera Frame Server","Stopped","Manual"
"FrameServerMonitor","Windows Camera Frame Server Monitor","Stopped","Manual"
"GameInputSvc","GameInput Service","Stopped","Manual"
"GameSDK Service","GameSDK Service","Running","Automatic"
"gpsvc","Group Policy Client","Running","Automatic"
"GraphicsPerfSvc","GraphicsPerfSvc","Stopped","Manual"
"hidserv","Human Interface Device Service","Running","Manual"
"hpatchmon","Hotpatch Monitoring Service","Stopped","Manual"
"HvHost","HV Host Service","Running","Manual"
"icssvc","Windows Mobile Hotspot Service","Stopped","Manual"
"igccservice","Intel(R) Graphics Command Center Service","Running","Automatic"
"IKEEXT","IKE and AuthIP IPsec Keying Modules","Stopped","Manual"
"InstallService","Microsoft Store Install Service","Running","Manual"
"Intel(R) Platform License Manager Service","Intel(R) Platform License Manager Service","Stopped","Automatic"
"InventorySvc","Inventory and Compatibility Appraisal service","Running","Automatic"
"ipfsvc","Intel(R) Innovation Platform Framework Service","Running","Automatic"
"iphlpsvc","IP Helper","Running","Automatic"
"IpxlatCfgSvc","IP Translation Configuration Service","Stopped","Manual"
"jhi_service","Intel(R) Dynamic Application Loader Host Interface Service","Running","Automatic"
"KeyIso","CNG Key Isolation","Running","Manual"
"KtmRm","KtmRm for Distributed Transaction Coordinator","Stopped","Manual"
